User,Accident [Y/N],Year,Folder Name,Video Name,Link,Video Length [sec],Pre collission [sec],Collission [sec],Post collission [sec],"Light conditions [Sunny, Cloudy, Rainy, Showy, Night]","Text on Video [NO, Upper Right corner, Upper Left Corner, Lower Right Corner, Lower Left Corner]",Camera Location (if shown),Day of accident (if shown),Time of collission (if shown),"Type of Accident [Rear ended, With object, T-bone, Other]",Camera Moved [Y/N],Camera Move Time [sec],Other Comments
Nelson Abreu,Y,2016,20161127-01 Work Zone Crash,DMTV77--2016_11_27_14_48_07-2016_11_27_15_35_04.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665490251209,2814,186,188,201,"Rainy, Cloudy",Upper Left Corner,South I-35 Hoover Str,"11,27,2016",14:51:15,Rear ended,Y,2175,2 cars were in line and one hit other from the back.
Nelson Abreu,Y,2016,20161129-01 Work Zone Crash,DMTV57--2016_11_29_21_01_46-2016_11_29_22_00_09.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665493958511,3500,98,100,107,Night,Upper Left Corner,North I-35/80 Meredith,"11,29,2016",21:03:28,With Object and Vehicules,Y,445,The accident involves 3 vehicules but the car left and 2 trucks stayed in the scene.
Nelson Abreu,N,2016,20161212-01 CB fire,CBTV03--2016_12_12_07_56_10-2016_12_12_10_10_07.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665492480328,8032,,,,Sunny,Upper Left Corner,East I-80 24th St,,,,Y,2937,No accident
Nelson Abreu,N,2016,20161212-01 CB fire,CBTV04--2016_12_12_07_56_38-2016_12_12_10_10_01.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665498153926,7996,,,,Night,"Top Center, Right Lower Corner",I-29/80 Indian Creek,,,,N,,No accident
Nelson Abreu,N,2016,20161212-01 CB fire,CBTV05--2016_12_12_07_56_15-2016_12_12_10_36_14.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665499225963,9597,,,,Sunny,"Top Center, Right Lower Corner",I-29/80 Lake Manawa,,,,Y,8532,No accident
Nelson Abreu,N,2016,20161212-01 CB fire,CBTV47--2016_12_12_08_28_29-2016_12_12_10_08_28.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665493846893,5996,,,,Sunny,Upper Left Corner,I-29/80 East of 24th Street,,,,Y,1187,No accident
Nelson Abreu,N,2016,20161212-01 CB fire,CBTV48--2016_12_12_09_52_50-2016_12_12_10_01_31.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665492741713,518,,,,Sunny,Upper Left Corner,South Exprs Ramp to I-80WB,,,,N,,No accident
Nelson Abreu,N,2016,20161212-01 CB fire,CBTV48--2016_12_12_09_52_56-2016_12_12_09_53_21.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665491296646,24,,,,Sunny,Upper Left Corner,South Exprs Ramp to I-80WB,,,,N,,No accident
Nelson Abreu,Y,2016,20161126-01 CR Crash,CRTV11--2016_11_26_01_55_08-2016_11_26_03_55_06.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665498892039,7894,,,,NIght,Upper Left Corner,I-380 8th St NE,"11,26,2016",,,Y,4918,"Bad Quality Video, looks like there is an accident but could not see it"
Nelson Abreu,Y,2016,20161126-01 CR Crash,CRTV09--2016_11_26_01_55_12-2016_11_26_03_55_10.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665495828764,8963,,,,NIght,Upper Left Corner,I-380 1st Ave SW,"11,26,2016",,,Y,5188,"Bad Quality Video, looks like there is an accident but could not see it"
